timestamp,course_enrolled,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_current_student,hear_alumni,hear_hs_teacher,hear_hs_counselor,hear_inapp_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_other,event_open_house,event_instant_decision_day,event_oncampus_info_session,event_titans_tuesday_virtual,event_women_who_dare,event_college_fair,event_hs_sharetime_session,event_challenger_program,event_cybersecurity_program,event_hs_info_session,event_hs_campus_visit,event_individual_campus_visit,event_workforce_class,event_corporate_training,event_teens_arts,event_ccm_summer_camp,impact_hs_computing_class,impact_hs_computing_club,impact_ap_computing_class,impact_dual_enrollment,degree_program,motivation_job,motivation_transfer_bachelors,motivation_transfer_hs,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_keep_current,motivation_certifications,motivation_financial,motivation_enrichment,info_hs_counselor,info_hs_teacher,info_ccm_website,info_ccm_admissions,info_ccm_advisor,info_employer,info_ccm_workforce_development,info_nj_workforce_development,info.other,gender,age
2024/09/12 11:28:27 AM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Man,19-20
2024/09/12 11:28:58 AM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,19-20
2024/09/12 11:29:09 AM AST,CMP 120 Foundations of Information Security,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,19-20
2024/09/12 11:29:33 AM AST,CMP 130 Intro to IT,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Man,18 and younger
2024/09/12 11:29:50 AM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't recall,No,Don't recall,Man,18 and younger
2024/09/12 11:30:23 AM AST,CMP 120 Foundations of Information Security,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Woman,19-20
2024/09/12 11:30:59 AM AST,CMP 120 Foundations of Information Security,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Don't recall,Yes,No,Yes,Man,35-64
2024/09/12 11:31:25 AM AST,CMP 120 Foundations of Information Security,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Man,19-20
2024/09/12 11:32:36 AM AST,CMP 120 Foundations of Information Security,No,Don't recall,Don't recall,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,business,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,19-20
2024/09/12 11:34:40 AM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Not Sure,No,Not Sure,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Don't recall,Don't recall,No,No,No,No,Don't recall,Man,21-24
2024/09/12 12:35:40 PM AST,CMP 120 Foundations of Information Security,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Man,19-20
2024/09/12 2:05:37 PM AST,CMP 131 Fundamentals of Programming (Python),No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,,Information Technology,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Man,35-64
2024/09/12 2:06:08 PM AST,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,,High Impact,,Computer Science,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Man,21-24
2024/09/12 2:08:08 PM AST,CMP 131 Fundamentals of Programming (Python),Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Woman,21-24
2024/09/12 2:08:34 PM AST,CMP 131 Fundamentals of Programming (Python),Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,Data Analytics Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Woman,25-34
2024/09/12 2:09:05 PM AST,CMP 131 Fundamentals of Programming (Python),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,25-34
2024/09/12 2:10:35 PM AST,CMP 131 Fundamentals of Programming (Python),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,,High Impact,,Information Technology,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Man,19-20
2024/09/12 2:25:45 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Woman,21-24
2024/09/12 3:53:36 PM AST,CMP 128 Computer Science I,Yes,No,Yes,Yes,No,No,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,,,High Impact,,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Woman,18 and younger
2024/09/12 5:11:15 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Challenger Program,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Man,18 and younger
2024/09/12 6:28:39 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,Chemistry,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Woman,19-20
2024/09/12 8:50:38 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,High Impact,,,,Graphic Design,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Woman,18 and younger
2024/09/12 9:22:30 PM AST,CMP 239 Internet & Web Page Design,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Some Impact,Some Impact,Some Impact,No Impact,Digital Media Technology,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Man,21-24
2024/09/12 9:22:34 PM AST,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,business,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,35-64
2024/09/12 9:22:44 PM AST,CMP 239 Internet & Web Page Design,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Business ,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,21-24
